effect,group,term,estimate,std.error,statistic,df,p.value,y_var
<<<<<<< HEAD
fixed,NA,(Intercept),16.786256086699712,1.9341214350316496,8.67900835110957,165.81362926051352,3.58161622686608e-15,fd
fixed,NA,spparpa,0.33095372668503703,1.663434590102806,0.19895806462975074,202.88532579867604,0.8424947890325452,fd
fixed,NA,sppcade,1.7989676055351462,1.7536903297016988,1.0258182844864914,230.46813819423613,0.30605271245235804,fd
fixed,NA,sppceco,-2.8723045354919368,2.3583033472662924,-1.2179538051461727,460.70239334012706,0.22386492776955338,fd
fixed,NA,spppije,10.507688233860229,2.2730958120150335,4.6226332292370325,319.8542530720765,5.504847782553912e-6,fd
fixed,NA,sppquke,-6.059956736007333,1.9272671807448971,-3.1443262234482368,232.2294017613232,0.0018818341866020374,fd
fixed,NA,mpa_scaled,-0.8406511660631945,2.031916103993686,-0.41372336407537363,815.7300327228938,0.6791854612577477,fd
fixed,NA,lfm_scaled,-1.8126045146580876,1.1416532644059376,-1.587701424916681,800.7713480824943,0.11274861868739695,fd
fixed,NA,site,-0.39543886246412485,0.9509256808391453,-0.4158462332357766,108.20217018752459,0.6783461195931143,fd
fixed,NA,year_month2020_september,2.863245755942202,0.8997266290278343,3.182350798081829,133.27076278231183,0.0018180984585235737,fd
fixed,NA,sample_wt_scaled,4.886440580090516,0.760316224100745,6.426852966171932,698.6104322956397,2.4117534154209825e-10,fd
fixed,NA,spparpa:mpa_scaled,6.6941753946485605,2.4435468868748838,2.7395322064844505,817.9396324403662,0.006286627648922607,fd
fixed,NA,sppcade:mpa_scaled,0.18305794372551917,2.842388563678478,0.06440285683130342,817.9998505241476,0.9486651901665861,fd
fixed,NA,sppceco:mpa_scaled,0.4735777627613187,2.6083512644500217,0.18156211136737901,817.6518845486369,0.8559713836085427,fd
fixed,NA,spppije:mpa_scaled,4.739588028696605,2.738613263212691,1.7306525504578008,814.6433390077491,0.08389242630043625,fd
fixed,NA,sppquke:mpa_scaled,1.1835955479900044,2.900259355654395,0.40809989826683823,816.2701751745866,0.6833073567227521,fd
fixed,NA,spparpa:lfm_scaled,-4.684734904776772,1.8455741795739429,-2.5383617503026943,746.8728838827585,0.011339281466428021,fd
fixed,NA,sppcade:lfm_scaled,1.4788964900542525,2.3256424712899717,0.635908790070362,797.9032811979217,0.525018221849779,fd
fixed,NA,sppceco:lfm_scaled,2.1120025044842605,3.151038318579589,0.6702560524355348,796.2289054423883,0.50288892172981,fd
fixed,NA,spppije:lfm_scaled,-3.50589532751353,2.0346972492936115,-1.7230550288160442,667.5697928367058,0.08534165268623392,fd
fixed,NA,sppquke:lfm_scaled,1.209149964147265,3.012993931927786,0.4013117820564683,817.5363097297937,0.6882954619440889,fd
ran_pars,individual,sd__(Intercept),2.8824506647924415,NA,NA,NA,NA,fd
ran_pars,Residual,sd__Observation,8.92434676189962,NA,NA,NA,NA,fd
fixed,NA,(Intercept),37.35273790531318,1.702888152528759,21.934933219098987,167.8833058593624,3.6128883524390504e-51,fh
fixed,NA,spparpa,-4.781728779112741,1.5149214223942262,-3.1564203320562703,208.45569937118628,0.0018336758395438581,fh
fixed,NA,sppcade,3.132764445591382,1.6063581125072324,1.9502279231507769,211.39907584125413,0.05247099879830098,fh
fixed,NA,sppceco,-15.03649392220465,1.927681221090481,-7.800301085932959,369.87021353382,6.368897634679225e-14,fh
fixed,NA,spppije,5.183091837495567,1.97659248714154,2.622235929365048,274.0725377701045,0.009224025828379405,fh
fixed,NA,sppquke,-1.606089941542793,1.688425623976663,-0.9512352328319035,229.7506640571564,0.3424845841155829,fh
fixed,NA,mpa_scaled,4.389470205345546,1.6895987807790152,2.597936418563059,652.4054179664614,0.00959026772245686,fh
fixed,NA,lfm_scaled,-2.186141959642584,1.0306196665022995,-2.121191774907496,634.2565076577262,0.034292940679677454,fh
fixed,NA,site,-0.8521601157700864,0.7783632908103985,-1.0948102586940527,105.68965953479274,0.2760884916738806,fh
fixed,NA,year_month2020_september,0.5399348075298711,0.7611697629811317,0.7093487337374111,156.54792396093637,0.4791632232047518,fh
fixed,NA,sample_wt_scaled,0.18448738020720176,0.6352408819682046,0.29042113856966123,585.1162156403606,0.771596974888898,fh
